,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D11,5.00E+03,9.80E+05,5.76E+05,8.41E+05,1.46E+06,1.41E+07,3.41E+08,1.13E+09,1.22E+10,2.80E+10,2.85E+10,1.51E+10,5.21E+10,1.27E+10,2.06E+09
D12,5.00E+03,2.06E+05,7.11E+05,7.51E+05,9.29E+05,2.31E+06,3.54E+08,4.24E+09,1.53E+10,1.81E+10,2.41E+10,1.56E+10,3.29E+10,8.28E+10,2.01E+10
D13,5.00E+03,1.35E+07,1.08E+07,6.68E+07,3.73E+08,6.94E+09,5.96E+10,9.91E+10,1.46E+12,1.70E+12,2.57E+12,1.50E+12,1.93E+12,7.08E+11,8.05E+11
D14,5.00E+03,9.87E+05,2.40E+07,2.75E+07,2.53E+08,3.90E+09,3.45E+10,7.17E+10,1.88E+12,1.38E+12,8.17E+11,1.06E+12,4.14E+11,4.69E+11,4.13E+11
D15,5.00E+03,1.76E+06,7.68E+05,1.95E+06,6.62E+06,2.22E+07,1.08E+08,6.02E+08,4.39E+09,3.48E+09,2.42E+09,6.16E+09,1.10E+10,1.04E+09,3.35E+08
D16,5.00E+03,5.36E+05,8.17E+06,1.57E+07,9.39E+07,1.08E+09,1.57E+10,5.00E+10,1.29E+12,2.07E+12,2.08E+12,1.45E+11,6.41E+10,9.89E+10,5.45E+11
D17,5.00E+03,4.29E+08,3.78E+08,9.27E+08,1.61E+09,1.70E+10,1.22E+11,1.77E+11,4.00E+10,4.23E+10,2.94E+10,1.51E+10,6.41E+10,9.89E+10,5.45E+11
D18,5.00E+03,2.76E+08,3.68E+08,6.53E+08,1.49E+08,4.78E+09,4.42E+10,1.24E+11,2.41E+09,2.70E+10,9.75E+09,2.31E+10,6.91E+10,9.79E+10,5.35E+11
D19,5.00E+03,1.99E+06,7.72E+06,2.83E+07,4.04E+09,2.68E+08,3.10E+10,7.25E+10,7.00E+11,1.11E+12,1.79E+12,1.16E+12,2.26E+11,1.10E+11,3.31E+11
D20,5.00E+03,1.17E+06,9.51E+05,4.74E+05,1.49E+06,4.05E+07,5.94E+09,1.20E+10,1.26E+11,4.14E+10,1.12E+11,4.48E+10,4.45E+10,3.55E+09,6.21E+09
D21,5.00E+03,8.23E+06,5.12E+06,5.77E+05,2.86E+05,3.44E+07,1.74E+09,1.74E+10,7.16E+10,6.07E+10,4.18E+10,1.38E+11,6.76E+10,2.93E+10,1.79E+10
D22,5.00E+03,5.44E+05,1.54E+05,1.84E+05,8.30E+05,3.71E+06,8.72E+07,2.49E+09,1.29E+11,8.17E+10,5.43E+10,2.68E+11,5.54E+10,9.78E+09,5.54E+09
D23,5.00E+03,6.41E+05,8.32E+05,5.85E+05,7.63E+05,4.99E+07,2.44E+09,9.46E+09,3.97E+10,5.60E+10,9.67E+10,5.66E+10,8.90E+09,5.68E+09,1.45E+09
D24,5.00E+03,3.02E+05,1.51E+05,4.87E+05,2.63E+05,4.19E+05,6.21E+05,3.67E+06,3.54E+07,8.22E+08,4.68E+09,4.04E+09,7.13E+09,7.51E+08,6.07E+08
D25,5.00E+03,2.78E+06,1.77E+06,1.58E+07,4.28E+06,5.28E+07,6.46E+09,6.34E+09,2.72E+09,4.57E+09,4.30E+09,4.58E+09,2.48E+09,1.35E+09,1.18E+09
D26,5.00E+03,2.25E+06,1.62E+06,3.97E+06,9.06E+06,4.77E+07,7.43E+08,2.50E+10,4.67E+10,1.55E+10,8.46E+09,5.89E+09,5.64E+09,4.69E+09,3.89E+09
D27,5.00E+03,1.40E+06,1.25E+07,5.24E+06,5.76E+06,1.42E+07,6.08E+08,2.41E+10,3.27E+10,4.29E+09,5.78E+09,3.57E+09,4.59E+09,2.68E+09,5.37E+09
D28,5.00E+03,7.25E+05,4.35E+06,2.59E+06,3.68E+06,4.29E+06,1.76E+08,6.86E+08,4.63E+09,5.63E+09,4.75E+09,4.62E+09,6.94E+09,4.39E+09,3.21E+09
D29,5.00E+03,1.08E+06,7.19E+05,2.03E+06,3.45E+06,3.86E+06,6.34E+08,1.29E+09,6.50E+09,5.42E+09,7.46E+09,6.83E+09,5.15E+08,3.41E+09,4.72E+09
D30,5.00E+03,1.61E+07,4.89E+07,3.14E+07,1.24E+08,1.02E+09,1.05E+10,9.47E+10,8.49E+09,2.34E+09,4.53E+09,6.73E+09,5.75E+08,3.91E+09,5.02E+09
